"Ticker","Nome","Negócios","Última (R$)","Variação"
"ELET6","Eletrobras","1.920.800","37,83","+0,11%"
"BHIA3","Casas Bahia","1.905.000","2,83","+2,17%"
"IRBR3","IRB Brasil RE","1.878.300","43,35","+1,17%"
"TEND3","Construtora Tenda","1.845.300","12,30","+0,00%"
"TAEE11","Taesa","1.786.200","32,87","+0,09%"
"MLAS3","Multilaser","1.675.600","1,06","+0,95%"
"ALUP11","Alupar","1.644.000","26,56","+0,42%"
"VIVT3","Vivo","1.639.900","47,16","-1,32%"
"AZZA3","Arezzo","1.625.000","29,14","+1,08%"
"INTB3","Intelbras","1.600.000","12,77","-0,85%"
"SANB11","Banco Santander","1.585.600","23,63","-0,59%"
"ENGI11","Energisa","1.567.900","36,84","-0,94%"
"CURY3","Cury","1.541.900","17,99","-1,48%"
"SMFT3","Smart Fit","1.498.900","16,98","-0,47%"
"EGIE3","Engie","1.456.000","34,95","-1,77%"
"GRND3","Grendene","1.452.100","5,01","+0,60%"
"SMTO3","São Martinho","1.392.300","23,59","-0,92%"
"SRNA3","Serena Energia","1.326.200","5,47","-0,36%"
"CPFE3","CPFL Energia","1.266.100","31,55","+0,19%"
"CASH3","Méliuz","1.240.900","2,82","+4,83%"
"BPAN4","Banco Pan","1.179.600","6,39","-4,05%"
"GGPS3","GPS","1.146.800","14,18","+0,28%"
"CSMG3","COPASA","1.093.400","20,24","-0,98%"
"ARML3","Armac","1.075.000","5,35","-6,63%"
"MDIA3","M. Dias Branco","1.058.200","20,16","-0,88%"
"ABCB4","Banco ABC Brasil","1.051.500","20,02","+0,40%"
"RAPT4","Randon","951.500","9,89","+0,30%"
"SAPR4","Sanepar","951.400","5,55","+1,83%"
"DASA3","Dasa","910.300","2,04","-0,49%"
"CAML3","Camil Alimentos","898.800","5,99","-1,32%"
"PLPL3","Plano&Plano","890.900","9,26","-0,75%"
"OIBR3","Oi","890.100","1,33","+0,00%"
"ODPV3","Odontoprev","887.900","10,75","+0,66%"
"KLBN4","Klabin","883.600","4,60","+0,22%"
"SAPR11","Sanepar","871.100","27,55","+2,42%"
"AERI3","Aeris Energy","870.400","8,31","-0,12%"
"TTEN3","3tentos","865.400","13,39","-1,54%"
"SEQL3","Sequoia Logística","844.700","2,57","+7,08%"
"ENJU3","Enjoei","844.700","1,06","-0,93%"
"NEOE3","Neoenergia","840.000","19,02","+0,53%"
"GUAR3","Guararapes","831.800","6,15","-1,60%"
"PDGR3","PDG Realty","813.800","0,01","+0,00%"
"EVEN3","Even","811.200","5,35","-0,37%"
"VITT3","Vittia","786.000","5,25","+1,35%"
"KEPL3","Kepler Weber","753.300","9,51","+0,11%"
"PORT3","Wilson Sons","745.700","16,33","+0,49%"
"LOGG3","LOG CP","744.400","18,27","-0,44%"
"CLSA3","ClearSale","735.700","9,82","+0,31%"
"VULC3","Vulcabras","727.500","15,81","+1,02%"
"BLAU3","Blau Farmacêutica","726.900","12,68","-2,01%"
"RANI3","Irani","697.400","6,77","-2,31%"
"PGMN3","Pague Menos","684.000","3,11","+0,32%"
"MDNE3","Moura Dubeux","673.100","10,87","-1,00%"
"ZAMP3","Zamp","655.600","2,27","-0,87%"
"BRSR6","Banrisul","643.800","9,99","-0,50%"
"LAVV3","Lavvi Incorporadora","589.000","7,55","+0,27%"
"MTRE3","Mitre Realty","587.000","2,86","+0,35%"
"JALL3","Jalles Machado","585.600","4,55","-0,44%"
"AZEV3","Azevedo & Travassos","584.700","1,05","+6,06%"
"BRBI11","BR Partners","556.900","13,50","-0,59%"
"POSI3","Positivo","535.600","5,07","+1,20%"
"MILS3","Mills","503.400","8,61","+1,65%"
"WIZC3","Wiz Soluções","500.800","5,57","+0,54%"
"SYNE3","SYN","494.300","4,96","+0,81%"
"HBOR3","Helbor","487.400","1,38","-0,72%"
"PRNR3","Priner","481.600","13,46","+2,67%"
"MYPK3","Iochpe-Maxion","479.500","11,41","-0,09%"
"VLID3","Valid","477.200","22,92","+0,79%"
"PFRM3","Profarma","455.300","6,28","+1,78%"
"AGXY3","AgroGalaxy","451.200","0,46","+0,00%"
"SOJA3","Boa Safra Sementes","436.500","10,20","-1,07%"
"TRIS3","Trisul","435.900","4,40","+0,23%"
"MATD3","Mater Dei","430.400","3,56","-3,00%"
"HBRE3","HBR Realty","430.300","3,00","+2,39%"
"BIOM3","Biomm","422.200","10,07","+9,46%"
"TASA4","Taurus","422.200","8,24","-2,83%"
"LIGT3","Light","415.200","3,97","-1,73%"
"VSTE3","LE LIS BLANC","405.500","8,40","+0,24%"
"PTBL3","Portobello","383.400","3,56","-2,73%"
"TRAD3","Traders Club","365.800","6,99","+17,68%"
"OPCT3","OceanPact","356.500","5,35","+0,38%"
"BMOB3","Bemobi","321.000","13,20","-0,38%"
"JSLG3","JSL","319.500","5,42","-8,29%"
"AGRO3","BrasilAgro","316.200","22,29","-1,20%"
"TFCO4","Track & Field","314.800","8,83","-1,12%"
"POMO3","Marcopolo","314.600","5,62","+1,81%"
"ITUB3","Itaú Unibanco","307.600","26,95","-0,92%"
"TGMA3","Tegma","305.200","29,40","+0,24%"
"FESA4","Ferbasa","304.600","8,08","+0,37%"
"SEER3","Ser Educacional","295.900","4,48","-1,75%"
"BRST3","Brisanet","279.100","2,50","-2,72%"
"MELK3","Melnick","276.300","3,59","+2,87%"
"LEVE3","Mahle Metal Leve","266.200","27,58","+1,14%"
"BMGB4","Banco BMG","263.800","3,76","+1,62%"
"SHUL4","Schulz","260.200","5,72","+0,70%"
"KLBN3","Klabin","258.400","4,88","+0,21%"
"ORVR3","Orizon","254.600","38,06","+0,11%"
"FIQE3","Unifique","252.900","3,38","-0,29%"
"USIM3","Usiminas","241.600","5,25","-0,76%"
"MBLY3","Mobly","241.600","1,48","+8,82%"
"CMIG3","Cemig","236.200","14,79","+0,96%"
"ALPK3","Estapar","225.600","2,32","+1,31%"
"PNVL3","Dimed","225.200","8,70","+0,23%"
"TAEE4","Taesa","210.100","11,06","-0,27%"
"SAPR3","Sanepar","209.300","5,50","+2,23%"
"ROMI3","Indústrias ROMI","205.800","8,32","-2,58%"
"CSED3","Cruzeiro do Sul Educacional","205.400","3,11","+0,65%"
"PMAM3","Paranapanema","203.700","1,03","+7,29%"
"FRAS3","Fras-le","195.800","20,59","+1,33%"
"MEAL3","IMC Alimentação","176.500","0,97","+0,00%"
"RNEW4","Renova Energia","173.700","0,93","+0,00%"
"AMBP3","Ambipar","168.100","134,96","+1,22%"
"ESPA3","Espaçolaser","160.400","0,72","+1,41%"
"ITSA3","Itaúsa","127.600","9,00","-1,42%"
"SANB3","Banco Santander","125.700","11,20","-1,23%"
"ELMD3","Eletromidia","125.400","28,40","-0,07%"
"LPSB3","Lopes","125.100","1,50","+13,64%"
"SANB4","Banco Santander","123.700","12,42","-1,19%"
"PINE4","Banco Pine","116.900","4,35","+6,88%"
"DESK3","Desktop","111.500","10,20","+0,49%"
"UNIP6","Unipar","107.900","47,38","+0,53%"
"TAEE3","Taesa","95.300","11,08","+0,73%"
"AMAR3","Lojas Marisa","84.700","0,96","-1,03%"
"LUPA3","Lupatech","80.900","1,19","-0,83%"
"ETER3","Eternit","80.800","5,14","+1,78%"
"DMVF3","D1000 Varejo Farma","76.300","5,90","+2,79%"
"BRAP3","Bradespar","76.000","15,90","-1,55%"
"TPIS3","Triunfo","73.600","5,15","-0,96%"
"TCSA3","Tecnisa","69.000","1,31","+4,80%"
"DEXP3","Dexxos","65.800","8,42","+0,24%"
"RNEW3","Renova Energia","65.700","0,96","+2,13%"
"GOAU3","Metalúrgica Gerdau","64.900","10,40","-1,98%"
"AALR3","Alliança","63.100","8,80","+0,00%"
"SCAR3","São Carlos","56.400","20,84","+2,56%"
"BRKM3","Braskem","55.500","12,35","-0,40%"
"VTRU3","VITRUBREPCOM","54.300","6,24","+1,30%"
"SHOW3","Time For Fun","50.600","0,68","+1,49%"
"EUCA4","Eucatex","49.600","13,65","-1,30%"
"RSID3","Rossi Residencial","46.400","2,46","-3,53%"
"TECN3","Technos","45.300","5,46","+1,30%"
"AMAR11","Lojas Marisa","41.000","0,35","+59,09%"
"KRSA3","Kora Saúde","40.700","8,21","-0,12%"
"ALLD3","Allied","35.000","6,70","-0,59%"
"CSUD3","CSU Cardsystem","34.500","15,41","+1,72%"
"FHER3","Fertilizantes Heringer","32.700","6,57","-3,38%"
"BOBR4","Bombril","31.800","1,92","-3,52%"
"VIVR3","Viver","28.900","1,15","+0,00%"
"INEP3","Inepar","28.300","1,33","-0,75%"
"LVTC3","WDC Networks","28.100","2,30","-4,17%"
"CGRA3","Grazziotin","27.000","26,50","+3,52%"
"GGBR3","Gerdau","25.500","17,08","-1,61%"
"AZEV11","Azevedo & Travassos","24.500","0,33","+0,00%"
"CAMB3","Cambuci","22.800","10,66","+0,66%"
"OIBR4","Oi","21.600","9,35","+8,72%"
"IGTI3","Iguatemi","21.500","2,15","+1,90%"
"IGTI3","Jereissati Participações","21.500","2,15","+1,90%"
"JFEN3","João Fortes","20.200","2,36","+0,85%"
"EALT4","Electro Aço Altona","19.700","13,33","-3,27%"
"LAND3","Terra Santa","19.300","13,99","+2,12%"
"PTNT4","Pettenati","17.900","5,96","+2,05%"
"DOTZ3","Dotz","17.900","2,96","+2,07%"
"BEES3","Banestes","17.100","8,45","+0,24%"
"ENGI4","Energisa","16.300","6,57","-1,79%"
"INEP4","Inepar","14.700","1,27","-1,55%"
"NGRD3","Neogrid","14.600","24,64","-3,14%"
"WEST3","Westwing","14.400","5,00","-1,96%"
"EPAR3","Embpar Participações","13.000","5,17","-1,52%"
"MNDL3","Mundial","12.900","16,10","-5,29%"
"UCAS3","Unicasa","12.800","1,80","+0,56%"
"OSXB3","OSX Brasil","12.700","3,42","-2,56%"
"ALUP4","Alupar","11.200","8,75","+0,23%"
"CTSA4","Santanense","11.200","0,79","+0,00%"
"TASA3","Taurus","10.900","8,97","+2,05%"
"FRIO3","Metalfrio","10.400","289,50","+31,00%"
"BMEB4","Banco Mercantil do Brasil","10.400","37,53","-1,31%"
"NUTR3","Nutriplant","10.200","4,07","+3,04%"
"LOGN3","Log-In","10.100","20,73","+1,82%"
"CGRA4","Grazziotin","9.600","26,59","-0,04%"
"OFSA3","Ourofino Saúde Animal","9.600","19,53","+1,72%"
"BIOM11","Biomm","9.200","0,86","+56,36%"
"WHRL4","Whirlpool","7.600","4,10","-0,49%"
"PDTC3","Padtec","7.500","1,24","+0,81%"
"COCE5","Coelce","7.400","24,46","+1,58%"
"CEBR3","CEB","7.000","15,65","-1,57%"
"UNIP3","Unipar","6.900","44,97","-1,27%"
"CTSA3","Santanense","6.000","1,65","+10,00%"
"BRSR3","Banrisul","5.900","11,69","+0,78%"
"NINJ3","GetNinjas","5.500","4,93","+2,07%"
"RNEW11","Renova Energia","5.500","2,98","+2,05%"
"RAPT3","Randon","5.200","8,21","-0,97%"
"TELB4","Telebras","5.100","7,40","-0,27%"
"ALUP3","Alupar","4.700","8,95","+1,70%"
"RDNI3","RNI","4.600","2,10","+0,00%"
"ISAE3","ISA Energia","4.400","30,16","-1,31%"
"PINE3","Banco Pine","4.400","4,48","+11,72%"
"CGAS5","Comgás","4.200","121,00","-1,63%"
"BPAC5","Banco BTG Pactual","4.200","7,29","-1,35%"
"CEBR6","CEB","4.100","16,85","-0,06%"
"MMAQ4","Minasmáquinas","3.800","2.550,01","+1.174,62%"
"ENGI3","Energisa","3.700","10,95","-0,73%"
"AVLL3","Alphaville","3.400","2,70","-1,46%"
"HAGA4","Haga","3.100","1,15","-0,86%"
"NEXP3","Brasil Brokers","2.600","3,63","-1,63%"
"RPMG3","Refinaria de Manguinhos","2.600","2,56","-1,92%"
"BALM4","Baumer","2.400","11,41","+7,44%"
"MTSA4","Metisa","2.300","38,19","+3,78%"
"TELB3","Telebras","2.300","12,91","+4,62%"
"BEES4","Banestes","2.100","8,70","-1,02%"
"WHRL3","Whirlpool","1.900","3,90","+2,09%"
"MNPR3","Minupar","1.800","21,00","-4,46%"
"EQPA3","Equatorial Energia Pará","1.800","5,66","-0,18%"
"ALPA3","Alpargatas","1.500","5,87","+0,17%"
"CLSC4","Celesc","1.300","80,18","+2,08%"
"WLMM4","WLM","1.300","28,99","+1,05%"
"BPAC3","Banco BTG Pactual","1.300","14,23","+0,35%"
"CRPG5","Tronox Pigmentos","1.000","20,85","-0,67%"
"BAZA3","Banco da Amazônia","900","84,57","+0,50%"
"DEXP4","Dexxos","900","8,45","+1,08%"
"PLAS3","Plascar","900","5,70","-0,87%"
"HOOT4","Hotéis Othon","900","2,35","+0,43%"
"RSUL4","Metalúrgica Riosulense","800","54,99","-0,02%"
"PEAB4","Participações Aliança da Bahia","800","49,50","+3,12%"
