codigo,preco,hora,data,variacao
"TRIS3", "R$4.31","17:54:38", "02/01/2025",
"TASA4", "R$8.31","17:54:40", "02/01/2025",
"VSTE3", "R$6.80","17:54:42", "02/01/2025",
"BMOB3", "R$13.15","17:54:44", "02/01/2025",
"JSLG3", "R$5.27","17:54:45", "02/01/2025",
"AGRO3", "R$22.20","17:54:46", "02/01/2025",
"POMO3", "R$5.81","17:54:48", "02/01/2025",
"TGMA3", "R$28.30","17:54:50", "02/01/2025",
"LEVE3", "R$26.61","17:54:52", "02/01/2025",
"BMGB4", "R$3.75","17:54:53", "02/01/2025",
"SHUL4", "R$5.63","17:54:54", "02/01/2025",
"KLBN3", "R$4.83","17:54:55", "02/01/2025",
"FIQE3", "R$3.42","17:54:57", "02/01/2025",
"USIM3", "R$5.18","17:54:59", "02/01/2025",
"CMIG3", "R$14.60","17:55:01", "02/01/2025",
"PNVL3", "R$8.61","17:55:03", "02/01/2025",
"TAEE4", "R$11.00","17:55:04", "02/01/2025",
"SAPR3", "R$5.30","17:55:05", "02/01/2025",
"ROMI3", "R$8.25","17:55:06", "02/01/2025",
"CSED3", "R$3.08","17:55:07", "02/01/2025",
"FRAS3", "R$20.44","17:55:09", "02/01/2025",
"ITSA3", "R$8.89","17:55:14", "02/01/2025",
"SANB3", "R$11.33","17:55:15", "02/01/2025",
"ELMD3", "R$28.35","17:55:17", "02/01/2025",
"DESK3", "R$10.45","17:55:17", "02/01/2025",
"UNIP6", "R$46.20","17:55:18", "02/01/2025",
"ETER3", "R$5.14","17:55:22", "02/01/2025",
"BRAP3", "R$15.74","17:55:25", "02/01/2025",
"TPIS3", "R$5.15","17:55:26", "02/01/2025",
"GOAU3", "R$10.14","17:55:29", "02/01/2025",
"SCAR3", "R$16.81","17:55:30", "02/01/2025",
"EUCA4", "R$13.55","17:55:34", "02/01/2025",
"TECN3", "R$5.30","17:55:36", "02/01/2025",
"CSUD3", "R$15.29","17:55:37", "02/01/2025",
"CGRA3", "R$25.33","17:55:43", "02/01/2025",
"GGBR3", "R$16.61","17:55:44", "02/01/2025",
"IGTI3", "R$2.07","17:55:45", "02/01/2025",
"LAND3", "R$13.79","17:55:48", "02/01/2025",
"PTNT4", "R$5.90","17:55:49", "02/01/2025",
"BEES3", "R$8.48","17:55:51", "02/01/2025",
"ENGI4", "R$6.35","17:55:52", "02/01/2025",
"NGRD3", "R$21.82","17:55:54", "02/01/2025",
